biotipológico	tipológico
próvido	prudente
plancha	prancha
afrouxar	malear
alvirrosado	alvirróseo
espampanante	mirabolante
confraternizar	fraternizar
frigidez	gelidez
perfulgente	rutilante
peso	volume
guarnição	guarnecimento
desacompanhar	descompanhar
cascalheira	cascalhada
enfracado	extenuado
defectivo	defeituoso
disparo	explosão
lamoso	lodoso
perigoso	temerário
contranaturo	contranatural
quebrantar	refecer
desparafusar	desaparafusar
munheca	punho
mutabilidade	ressaca
servilismo	submissão
engar	martelar
emborque	esborro
aniquilação	eliminação
desroscado	desenroscado
bruega	embrulhada
sintonizar-se	entrosar-se
gazetal	gazetário
invocação	invocatória
desgarrar-se	desviar-se
troco	volta
carmelitano	carmelita
ovniologia	ufologia
frigorífero	frigorífico
ressarcimento	restituição
mundificativo	purificante
desvirginamento	defloração
ímpio	sacrílego
dirigível	zepelim
angusto	apertado
alambique	destilador
assobiado	assoviado
gomo	pimpolho
desinsetização	desinfestação
percale	percal
bem-arrumado	elegante
fradesco	fradeiro
enviperar	toxicar
pendericalho	penderucalho
adivinhação	predefinição
reboque	revestimento
probo	sério
balcão	sacada
eternizador	perpetuador
predileção	preferência
herboso	ervoso
vigiar-se	vigilar-se
desavegonhar-se	descarar-se
arroxado	roxeado
remessa	remissão
esperançado	esperançoso
incontínuo	intercadente
ameaço	assomo
encosto	respaldo
trasfegar	versar
triplicado	tresdobrado
fementido	frustratório
piada	ralo
acervo	amontoado
senatorial	senatório
guarir	sarar
acaramelado	encaramelado
acontecimento	evento
aliviante	alivioso
carneirum	carneirento
manejável	maneável
dissolúvel	solúvel
costumes	tradição
charqueiro	encharcado
farrapada	farraparia
alivelar	rasar
encarquilhado	esmarrido
abordada	abordagem
sarapieira	sarapueira
pontão	pontalete
sisudeza	sisudez
ramalhoso	ramalhudo
desmazelado	improvidente
acerbidade	austeridade
repassar	rever
anêmico	frouxo
ciúme	inveja
misse	miss
casquinar	gargalhar
dinamizar-se	ativar-se
objetivar-se	materializar-se
firmação	fortalecimento
zen-budismo	zen
mercearia	venda
pontareco	pontarelo
reclusão	recolhimento
esfolhado	nu
falada	falario
desajuizado	esmiolado
endoidar	ensandecer
poiso	rancho
primazia	vantagem
absolvido	absolto
proporcionar-se	quadrar-se
notório	público
frinchoso	rimoso
irresilível	irrescindível
acalmador	tranqüilizador
tarear	zupar
morígero	morigerado
gambeteador	gambeteiro
estorcegão	morsegão
insaciabilidade	avidez
cachaçudo	soberbo
análogo	convizinho
abrancar	caiar
frutuoso	produtivo
tropel	turba
liquidificar	liqüidificar
frear-se	reportar-se
imaginado	sonhado
desadvertido	inadvertido
polidura	polimento
durar	subsistir
oportunismo	carreirismo
mundaréu	mundão
recepção	recebimento
absurdez	absurdidade
glorificador	glorificante
paralisar	torpecer
ametódico	desorganizado
bem-aventurar	felicitar
atrevidão	atrevidaço
banalizar-se	devassar-se
pertransido	traspassado
quedar	ter-se
raposeira	soneca
germanista	alemanista
amotinar-se	insubordinar-se
nada	quiquiriqui
fabuloso	quimérico
embestar	fincar-se
arroto	eructação
lusitano	luso
desajeitamento	inelegância
chantar	enfincar
juvenil	novo
sarreta	serreta
ensaboar	recriminar
chicotar	surrar
invulnerável	inatacável
aquentado	esquentado
manqueira	claudicação
enormidade	grandeza
desmoralizado	pervertido
conviva	convidado
desinchar	detumescer
espontaneamente	voluntariamente
debandar-se	desbandalhar-se
recapitulação	resumo
torrinha	poleiro
trançar-se	tecer-se
incorporar-se	materializar-se
ganhos	proventos
enxergar	perceber
ardidez	ardimento
cílios	celhas
obstruído	tapado
reportar-se	temperar-se
ajuda	aviamento
conciliábulo	conspirata
boleio	torneio
imemorial	imemoriável
tetro	torvo
indomesticável	selvagem
derrama	derrame
preeminência	realeza
despojamento	despojo
atroçoar	migalhar
arcaísta	arcaizante
monocórdico	monótono
esbrasear-se	ruborizar-se
insito	natural
deslembrar	desmemoriar
nublado	turvo
enverdejar	reflorescer
conveniência	favor
abarbado	assoberbado
liqüidável	liquidável
entrajar-se	tratar-se
esboucelado	esbeiçado
acariciativo	amimador
tipificar	configurar
zombetear	palhetear
remetente	expedidor
engordar	engrandecer
ressurrecto	ressurreto
teledirigir	teleguiar
mau-olhado	quebranto
desanimado	desmoralizado
arranjar	restabelecer
estiolar	mirrar
roça	roçadura
rendez-vous	serralho
matraquear	prosear
bodum	fartum
repulsivo	torpe
penhascoso	fraguento
confins	fronteiras
avicular	aviculário
abnormalidade	anormalidade
esmilhento	esfarelento
inaplicado	vadio
anuir	relevar
mística	misticismo
registar-se	registrar-se
perecimento	extermínio
desimaginar	dissuadir
lantejoula	lentejoula
paparrotear	pregar
perfilar-se	quadrar-se
peral	pereiral
bastardear-se	degenerar-se
judiaria	malvadez
novato	novo
boquifendido	boquirrasgado
irreprochabilidade	irrepreensibilidade
pedranceira	pedroiço
matutar	meditar
turuna	valentão
perolar	emperlar
apatetar-se	atolar-se
consonância	harmonia
estrepitar	soar
poluir-se	subverter-se
vida	viveza
farsista	goliardesco
encrassar	inspissar
regressado	retornado
turificante	turificador
excesso	rigor
basear	firmar
esfalfador	esfalfante
sopitar	suster
vacilatório	tremido
pernaço	pername
criticar	funestar
ninharia	tudo-nada
emendado	revisto
noite	noute
telecomando	teledireção
viçar	vicejar
indiferentemente	passivamente
deturpar	infeccionar
estoirar	estourar
retitude	seriedade
arrebiques	postura
traste	trasto
declaração	documento
narina	venta
assedentado	sequioso
desoladoramente	desoladamente
demonopata	demonópata
tartamelear	tartamudear
espantoso	horrífero
subordinar	vencer
pantear	zombar
aboiz	empulhação
gasalhar-se	recobrir-se
prolificar	reproduzir-se
caiongo	passado
estuante	febricitante
velicar	repruir
zãibo	zanaga
acidulce	acre-doce
micróporo	microporoso
estiramento	estirão
semanada	semana
aroma	cheiro
submarinho	submarino
bidenteado	bidênteo
ambiguamente	equivocadamente
fraguar	mortificar
acobertar	roupar
passadouro	passagem
condecoração	honraria
indagar	procurar
esvoaçar	voejar
marcha	processo
apreçante	apreciador
desconjuntamento	disjunção
dermal	dérmico
supervisionar	inspecionar
súrio	suru
amodernizar	juvenescer
trocista	zombeteiro
sobrancelhudo	trombudo
homogeneizar-se	uniformar-se
cominar	infligir
fungar	resmungar
sobrepujante	superabundante
adulterino	contrafeito
nocividade	perniciosidade
chuviscar	neblinar
expulsor	ejetor
matadouro	abatedouro
cruciar	remoer
teclar	teclear
raivar	raivecer
concorde	uníssono
merecido	justo
distinguir-se	predominar
aldeia	póvoa
estreitar	minuir
enfreamento	frenamento
camareiro	camarista
entorpecente	narcótico
estremado	limitado
maravilhar-se	surpreender-se
deflorar	desflorar
enfear	destoucar
afrouxar-se	entorpecer
mandamento	ordem
demasioso	nímio
ataúde	esquife
encapelar	enfuriar
encantos	feitiços
apavonar-se	endeusar-se
destapado	destampado
subtrair-se	poupar-se
pestilencioso	pútrido
enxota-moscas	abanador
reciprocidade	sintonia
chiadeira	lamento
empunhadura	punho
distração	espairecimento
anatomizador	anatomista
incivilizado	rude
pulguento	pulgoso
espalda	respaldo
desjejua	desjejum
improvisador	repentista
transladar-se	trasladar-se
ver	viver
eletrogêneo	eletrógeno
rubificante	rubifaciente
danificar	daninhar
bem-vestido	bizarro
clemente	moderado
entibiar	extenuar
anatomizado	dissecado
acareador	acareante
entujucar	entijucar
recalcitrar	repostar
ler	ver
fabriqueiro	fabricário
ob-reptício	doloso
extremado	supremo
lonjura	longitude
remodelamento	remodelagem
iniqüidade	sem-justiça
encarna	engaste
astronave	cosmonave
alijar	cuspir
estrebaria	persigal
espatifado	estilhaçado
alcatruz	caçamba
comunicado	transmitido
crendice	superstição
ruão	plebeu
torção	torcilhão
ensementar	estender
prostrado	quebrantado
estável	permanente
alcatruzar	endorsar
embelezamento	alindamento
quadriculado	quadricular
corrigir-se	regenerar-se
inoportuno	intempestivo
invigilância	omissão
galera	torcida
antidemocrata	antidemocrático
laxação	suavização
amoixar	amouxar
frívolo	oco
pixaim	pixainho
desoladamente	desoladoramente
concretar	betonar
método	regime
berganhar	permutar
apartamento	solidão
carrinho	carrete
pedinchice	pedincharia
simultaneidade	tautocronismo
murchar-se	murchecer-se
craque	mestre
enxaguadela	lavadela
caquerejar	palrear
definição	propósito
infiel	inverídico
ocupante	ocupador
penado	sofredor
indiferente	passivo
mimosamente	ternamente
desadaptação	desajustamento
discriminar	separar
adefagia	voracidade
preambular	proemiar
domesticado	manso
alemanista	germanista
mexeriqueiro	xereta
ilaquear	iludir
vilória	vilório
modicar	sopitar
carvão	carvão-de-pedra
desenlambuzar	mundificar
figadal	hepático
criadagem	famulagem
melindrado	ressabiado
grilar	impressionar
supra-sumo	zênite
recenseamento	recenseio
mortório	mortuório
amendoado	repuxado
amovível	removível
mundificar	purgar
alão	alano
comedir	sopitar
funcional	prático
intumescimento	turgência
cachinada	caçoada
reocupar	retomar
cigano	zíngaro
agríssimo	agérrimo
conseqüente	procedente
jurista	jurisperito
disperder	minar
coma	juba
desratar	desratizar
cravelho	tramela
sebento	sujo
cobrear	ondular
engelhar-se	franzir-se
alcunhar	sobrenomear
sazonar-se	atilar-se
encanzinado	irado
bêbedo	tonto
enouriçar	erriçar
sibilino	nevoento
automotriz	litorina
amolecente	amolecedor
pendão	guião
amorável	querençoso
remelexo	requebro
trejeito	visagem
cainho	esganado
finito	limitado
extrapassar	sobreexceder
toiro	touro
doidamente	perdidamente
levantar	propor
trava	travação
comiseração	condolência
trazer	vir
indignidade	torpitude
descolorar	descorar
particularizar	pormenorizar
desgarre	transvio
empandeiramento	enfunação
fontículo	fontícula
quadrigêmeo	quádruplo
embasamento	fundamento
enraivecido	iracundo
depauperação	empobrecimento
samambaia	sambambaia
raquetista	tenista
doble	dobrado
recolhido	retraído
tonificar-se	vigorizar-se
melindrar-se	zangar-se
escalamento	transposição
desapercebimento	despercebimento
desprecatado	desprevenido
filó	tule
desonestamente	indecorosamente
auto-estrada	autopista
cabriola	pirueta
pesquisa	rastejo
farfalhudo	vistoso
generosidade	gentileza
soalheira	torreira
temor	terror
cafelista	cafezista
invernal	invernoso
minar	surdir
economizar	enceleirar
concebido	gerado
amoldar	esculpir
maturar-se	sazonar-se
empenhorar	obrigar
pomadista	potoquista
resfriadoiro	resfriadouro
concernência	pertinência
engabelação	engambelação
contrapor-se	resistir
corajosamente	bravamente
despargir	raiar
desperto	esperto
insubordinar-se	rebelar-se
enfermar	entecar
inteirar	trancar
comovedor	emocional
ignorado	ignoto
entorpecido	tórpido
reprovado	verberado
tripalhada	tripagem
garantido	seguro
amorfia	informidade
incorrupto	puro
clarificativo	clarificante
esbarrigar	esbandulhar
sossegamento	sossego
amarado	marejado
incompletamente	imperfeitamente
reciprocar	trocar
rápido	curto
bisanual	bienal
bárbaro	violento
amargado	ansiado
desconhecimento	insipiência
ameaçar	querer
vermelhecer	vermelhejar
imobilismo	misoneísmo
encarrilado	encarrilhado
esborrachar-se	estirar-se
plantação	plantio
saldar	solver
borracheira	embriagamento
consumidor	consuntivo
aquiritivo	aquisitivo
obseqüente	submisso
alumbrador	alumiador
transfúgio	deserção
incorporar	reunir
laminar	laminoso
puerícia	pequeneza
balsamar	perfumar
turgescente	túrgido
facalhaz	facão
torpedo	bombona
polé	roldana
externação	manifestação
micagem	momice
propalado	revelado
atroada	bulha
impugnante	impugnador
malédico	praguento
decertar	pugnar
degolado	decapitado
quiliarca	quiliarco
vinagrão	zurrapa
conservadorismo	conservantismo
comprovador	comprovante
molheira	salseira
acuta	suta
rolar	volutear
murcha	peco
vileza	vitupério
utilidade	vantagem
pendeciar	rezingar
artesão	artista
desajustar-se	desavir-se
privilegiar	singularizar
eloqüência	expressividade
sujeitar-se	zumbrir-se
exprobar	glosar
dizimado	desfalcado
remir-se	resgatar-se
mãe-de-leite	nutriz
ladino	tacanho
abonador	fiador
mundície	mundícia
desocupar	vaziar
radiofoto	radiofotografia
desairoso	desonrado
boucera	tomento
deficiente	imperfeito
antiferruginoso	antioxidante
preterido	esquecido
receptibilidade	receptividade
entronar-se	entronizar-se
inconfidente	insidioso
progenitor	avô
mostrar-se	repontar
táctil	tateável
asneirento	batateiro
mortificado	torturado
lezira	lezíria
supérfluo	supervacâneo
crepitação	estalido
espelhadio	espelhadiço
extraconjugal	extramatrimonial
arquejamento	esbofamento
bandada	pelotão
emocional	tocante
interdizer	vetar
tecnicismo	tecnicidade
adestrar-se	estudar
carvoaria	carvoeira
sonhar	variar
encalmadiço	calorento
desengaiolar	soltar
engorda	engorde
bem-afortunado	fortunoso
confederado	sócio
zaranzar	vagamundear
carruagem	diligência
tarrafa	zangarelho
grafar	ortografar
encerro	finalização
excessividade	superfluidade
badém	bedém
desfigurar	desformar
descascamento	escamação
alambrado	aramado
expansibilidade	incompressibilidade
pedaço	talhada
emoldurar-se	ornar-se
enrijar-se	vigorizar-se
prosternação	submissão
descangotado	enfraquentado
rotante	rotatório
catarroso	catarrento
envencilhado	implexo
franciscano	xabregano
clube	sociedade
robustamente	vigorosamente
altivamente	arrogantemente
digestível	digerível
molesto	secador
inviabilidade	inexeqüibilidade
aguardar	atender
enojamento	nojo
morbíparo	morboso
minuir-se	moderar-se
infiltração	instilação
personalista	egocêntrico
inadequado	inapropriado
rixar	testilhar
habitualidade	habitualismo
suru	torado
edificativo	moralizador
sincopizar	sincopar
escólio	nota
agressivo	invasivo
fanho	morfanho
guarecer-se	refazer-se
espreitante	espreitador
simples	singelo
inebriar	xumbergar
orgulho	vanglória
descortiçar	despelar
pictórico	pitoresco
versado	enfronhado
aniquilamento	profusão
agregação	associação
recâmara	repartimento
passeio	volta
mistura	misturação
mamiliforme	mamiloso
licenciatura	licenciamento
desolado	devoluto
lentejoilante	lentejoulante
incalculável	inestimável
arlequim	palhaço
enredear	maçarocar
furtado	saqueado
nadar	tranar
conchífero	conquífero
transmarino	ultramarino
palrice	parolagem
fragmentado	quebrado
sobremesa	sobrepasto
gordalhaço	gordalhufo
amolante	paulificante
toponomástica	toponímia
gnoma	máxima
dizimar	varrer
proverbial	sabido
escápole	livre
partícipe	participador
escumador	escumoso
pormenorização	esmiuçamento
pêsames	sentimentos
amarinhado	amarinheirado
rogar	suplicar
desafortunado	infortunado
pescar	tomar
ajudadouro	auxílio
estragador	profuso
aporfiar	questionar
vacilante	vacilatório
gaguice	tartamudez
confecção	preparo
encapetar-se	endiabrar-se
râncido	ranço
cabeço	outeiro
bananal	pacobal
trilado	trinado
duramente	rudemente
cretino	nenho
perscrutação	sondagem
butiráceo	butiroso
frecheiro	seteiro
casaréu	casão
raspador	raspadeira
servil	subserviente
amodernado	amodernizado
pensionato	patronato
aceitabilidade	aceitamento
flecheiro	frecheiro
parafuso	tarraxo
hulhífero	hulheiro
apoltronado	refestelado
carminar	esfoguear
deltóide	deltóideo
aviso	informe
deliberadamente	intencionalmente
sumariar	sumarizar
esperdiçador	manirroto
mísero	perverso
avizinhar-se	conchegar-se
intuicionar	ver
clarificação	dealbação
indigitar	sinalizar
aprontar-se	desaperceber-se
fogo	incêndio
impulsão	impulsionamento
antolhar	mentalizar
foto	retrato
abaloado	pando
embirrativo	manheiro
condecorado	engrandecido
implicante	implicador
trapejar	popocar
superabundar	transbordar
pactício	pactual
inebriamento	zangurrina
mal-entendido	desacerto
acanelar	estriar
cordoalha	cordagem
impedido	inaccessível
fluviátil	fluviano
tisnadura	tisna
moderabilidade	razoabilidade
encarrapitado	empoleirado
colaço	contubernal
pesadão	vagaroso
fuxico	mexerico
passável	receptível
alevante	levante
desembravecer-se	tranqüilizar-se
empantanar	encharcar
remuneroso	remuneratório
anunciação	participação
desnudado	desnudo
calcular	medir
broxar	pincelar
extravaganciar	malbaratar
vasa	limo
fixar-se	implantar-se
causal	causativo
benfeitor	bom
hebdomadário	semanário
espadanar	jorrar
fantasma	visão
carbonizante	carbonizador
passear	universalizar
desapreço	desestima
curiosidade	raridade
tormentoso	trabalhoso
transvasar	trasvasar
tesoirar	tesourar
corado	envergonhado
luxuosidade	magnificência
laboração	preparo
espiolhado	despiolhado
trabalheira	trabalhão
naturalizar-se	nacionalizar-se
tartamelo	tatibitate
enregelar-se	gelar-se
buliçoso	desenvolto
dropes	rebuçado
trasfegadura	trasfego
galivar	tracejar
desparafusado	desroscado
trino	trinado
desinteressado	gratuito
desconsertar	molestar
emprenhar-se	engravidar-se
temporão	prematuro
cissura	talho
escola	imitadores
monstruosidade	atrocidade
cordel	guita
desmiolar	girar
sangüentado	sanguento
soleta	palmilha
azorragar	chibatar
chuchar	sorver
varrasco	varrão
contra-arrestar	empacar
saracotear	sururucar
picuinha	remoque
horoscopar	horoscopizar
arreigar-se	inviscerar
sobrevida	morte
imorredoiro	imperecedouro
idear	inventar
emperramento	encravamento
ladeiroso	teso
caterva	corja
fornaça	fornalha
gargalhadear	gargalhar
orla	tira
ginástico	gímnico
reperguntar	reinterrogar
gravidez	prenhez
encolerizar	irritar
zíngaro	cigano
abominável	aborrecido
amolegar	amolgar
avassalar-se	rebaixar-se
sabadear	sabatizar
improficuidade	inutilidade
proposital	premeditado
radiola	radiovitrola
bosta	fezes
espanejador	espanador
cruento	sevo
fragilíssimo	fragílimo
mimalho	mimanço
completamento	inteiração
comedir-se	modificar-se
inocuidade	inofensividade
virtuoso	virtuose
abraçar	juntar
patota	batota
varejadura	varejo
inconfortar	desconfortar
prevenir	resguardar
coligar-se	ligar-se
custeamento	custeio
acanalhar-se	desonrar-se
estigma	marca
rock-and-roll	roque
moncoso	ranhoso
infecundidade	infertilidade
envelope	involutório
falquejar	falquear
isolado	solitário
heroificar	soberanizar
agonizante	moribundo
arado	esfaimado
ebriedade	prego
pastor	pegureiro
restituir-se	revestir-se
grito	reivindicação
tumefação	inchaço
olheirudo	olheirado
brigante	conflituoso
receptível	aceitável
afono	áfono
mosqueiro	mosquiteiro
troante	trovejante
recomendativo	recomendatório
estatucional	estatutivo
inconteste	indubitado
retrair-se	seqüestrar-se
fluido	manante
saltar	transpor
escondedor	receptor
desgostar	molestar
encalço	pegada
grã	grão
marco	termo
gramatical	gramático
subserviente	servil
xerocar	xerocopiar
inconstitucionalidade	ilegalidade
adulão	louvaminheiro
aterragem	poiso
desencarquilhar	desrugar
esbulho	espólio
angüilar	angüiliforme
nevado	nevoso
desabilidade	inabilidade
betesga	bitesga
babugeira	sarambelada
impunido	impune
comiserado	compadecido
anteceder	antepassar
encaramelado	acaramelado
sinaleiro	sinaleira
mérito	nobreza
infortunoso	mal-afortunado
diatribe	libelo
tampado	tapado
peneiração	peneirada
fluminar	flumíneo
acabrunhante	atormentador
gabão	sobretudo
industriar	traquejar
cuspinhar	cuspir
urrar	rugir
abenesse	prebenda
caprichar	esmerar-se
diluviano	diluvial
inaptidão	incapacidade
bambaleio	bamboleadura
lotérico	lotárico
azuláceo	azulado
éden	paraíso
magnânimo	magnificente
foliáceo	foliar
feltroso	feltrudo
gabardo	gabinardo
fadigoso	molesto
leiaute	layout
malquistar	odiar
admirando	admirável
presúria	represa
decisivo	expresso
nodoar-se	sujar-se
toadilha	tonilho
irremediabilidade	incurabilidade
trucidante	trucidador
casta	linhagem
aerostateiro	aerosteiro
suprimido	excluído
argentear	pratear
decifrar	decriptar
embaralhar	enlabirintar
desclassificado	torpe
comicamente	burlescamente
laborioso	molesto
ronrom	ronco
anulante	nulificador
oferta	promessa
imódico	excessivo
barbiponente	barbipoente
assarilhado	ensarilhado
megafone	porta-voz
arapuca	cilada
desodorizar	desodorar
pós-escrito	post-scriptum
fortificar-se	oxigenar-se
abracável	abrangível
valise	valisa
vertebrado	vertebroso
autorizar	permitir
escondido	escuso
contradizer	ilidir
pinguço	pingueiro
quarta	quartinha
rapador	rapante
solvável	solvível
integrar	justar
compelido	obrigado
desenfadadiço	recreativo
resmungar	resmuninhar
perífrase	rodeio
meter	sepultar
amota	marachão
importunice	incômodo
cartilha	compêndio
incitamento	instigação
antepassar	preceder
sub-literatura	literatice
incorporação	integração
vingar	avançar
fixidade	fixidez
esbanjar	malgastar
fundição	vazadura
freqüência	regularidade
chamboíce	xucrice
aduzente	aducente
classificar-se	qualificar-se
venial	desculpável
gesticulação	pantomima
estrovinhar-se	perturbar-se
maçada	tacada
diplomar	formar
desempenho	execução
sinuoso	torto
refletir	revelar
indelicado	mazorro
sustentação	sustentáculo
parentado	emparentado
procaz	protervo
imperfectibilidade	defeituosidade
manual	portátil
incubado	empolhado
estudado	sabedor
cultivar	exercitar
neutralizar-se	nulificar-se
orgulhar-se	vangloriar-se
recordação	reminiscência
desemborcar	desaborcar
cismado	difidente
babador	babeiro
galhada	galhadura
abalsar	embalçar
pintalegrete	taful
esfalfante	esfalfador
destruído	talado
desinquietante	desinquietador
lucilância	faiscação
deslustre	empanamento
enclausurar-se	recolher-se
caxingar	renguear
prestabilidade	prestimosidade
babaçual	babaçuzal
armazenamento	estocagem
fúria	inspiração
acometedor	cometedor
arrepelar-se	vagir
aplicativo	programa
desprazível	desaprazível
antijurídico	injurídico
êneo	brônzeo
desenregelhar	encalmar
seguro	sólido
marretar	tarear
oceano	pélago
inacabável	infindo
espécimen	exemplar
pilotar	pilotear
vertente	sobpé
maleabilidade	maneabilidade
quadriplegia	tetraplegia
capsulado	capsular
documentos	papelada
intimar	mandar
academicismo	academismo
resplandecência	resplendor
desembarrancar	desenvasar
acobardamento	pusilanimidade
cobiçado	desejado
pandegar	rosetar
truania	truanice
afora	fora
franzir	pregar
intumescer	tufar
bucólico	campeiro
metamorfosear	transverter
mendicante	mendigo
lavadoiro	lavadouro
pintinho	pipio
coliquar	fundir
zagunchada	zargunchada
taxar	tributar
dinheirada	dinheirão
abonecar-se	ajaezar-se
ovil	redil
antipático	contrário
encavado	escavado
precatadamente	prevenidamente
desvencilhar	soltar
esgaravatana	zarabatana
enfumarar	enfumar
desmedrança	desmedramento
birô	empresa
conforme	idêntico
cenho	sobrecenho
invalidez	inutilização
miscelânea	mistifório
serradura	serragem
politiquismo	politicagem
serapilheira	serrapilheira
ananicado	calhorda
corrugação	enrugamento
retesar	tesar
esterroado	estorrado
perfeitamente	primorosamente
aclimatar-se	aclimatizar-se
cheirar	intuir
afeiar	desguarnecer
torturador	torturante
fratura	quebra
atingível	conseguível
fomentar	impelir
sancionado	asselado
moagem	moedura
abadesco	abatino
desconhecer-se	ignorar-se
zurrapa	vinagrão
qualidade	superioridade
cosmonave	espaçonave
tumescência	turgidez
anomalia	irregularidade
descunhar	desacunhar
rabiscado	gatarujado
apostolar	apostolizar
gostar	prezar
encurvado	recurvado
modificativo	modificante
tecedura	trança
recambiar	reconduzir
coruscado	coriscado
questionário	interrogatório
embargo	obstáculo
egrégio	ilustre
advocacia	advocatura
dízima	dízimo
carreação	condução
cogotudo	cangotudo
olvidar	dessaber
carbonizar	queimar
encarraspanar-se	toldar-se
decremento	decrescimento
sonâmbulo	noctâmbulo
conquista	troféu
remédio	tópico
espostejamento	retalhação
espinígero	espinífero
antimonástico	antimonacal
descantar	entoar
vário	volátil
desengrenado	desengatado
moçoila	mocinha
lealdar	visitar
abanão	safanão
pisadura	tomadura
amortização	quitação
intemente	resoluto
pré-primário	pré-escolar
agasalhar-se	recobrir-se
maturação	sazonamento
generalidade	universalidade
sopapo	tapa
desabridamente	rudemente
mata-mouros	ferrabrás
isofote	isofótico
torrefeito	torrificado
soturnez	soturnidade
climatério	climático
granja	quinta
lapônio	rude
índole	temperamento
picar-se	suscetibilizar-se
cedo	precocemente
hermafrodita	hermafrodito
cortil	curral
argüente	argüidor
denunciar-se	descobrir-se
dançarina	saltatriz
casino	cassino
árvore	esquema
obsidente	obsidiante
trimorfismo	trimorfia
nutritício	substancioso
corrugar-se	encorrilhar-se
açoutar	chibatear
finalização	término
tracejar	bosquejar
bacelo	vide
segregado	separado
escovar	increpar
festa	festividade
ignavo	manzanza
noctífero	noctígero
chefia	comandância
impudico	sem-vergonha
rubiginoso	ruvinhoso
ordenado	organizado
supercílios	supercílio
excetuado	tirante
comissão	junta
tecnólogo	tecnologista
alfinetada	sainete
mentirada	petalhada
embravear	embravecer
mercantilagem	mercantilismo
adoentar	adoecer
biografista	biógrafo
surpreendente	tremendo
flexão	maleabilidade
veicular	zabumbar
equipe	time
participante	partícipe
interatuar	interagir
márcio	mavórcio
desopressar	desoprimir
desmobilhar	desmobiliar
semibárbaro	semi-selvagem
acoroçoar-se	animar-se
conculcado	humilhado
pomo	seio
reserva	sobriedade
pixotada	pexotada
inextrincável	inextricável
afuroado	escavado
avençado	combinado
baixio	parcel
artificiar	artificializar
madame	senhora
domo	sé
verrumão	gonete
justamente	mesmo
escoar	vogar
excretório	excretor
estuar	marejar
catrapus	galope
indeclinabilidade	irrecusabilidade
persistir	ter-se
magnesiano	magnésico
aceitamento	consentimento
inupto	solteiro
revezar-se	subalternar-se
confrangedor	torturante
desencostar	desapoiar
esculpir	talhar
feitura	prática
mocambeiro	quilombola
incorreção	inexatidão
provido	servido
raptado	seqüestrado
indigitamento	indicação
estabelecido	fixado
feminizar	afeminar
galardoar	pagar
abactor	abígeo
retorqüir	volver
trirocínio	estágio
esteiro	estuário
exame	sondagem
placidamente	tranqüilamente
remexer	remover
futuração	hipótese
editorador	editor
estagnar	imotar
frutificar	frutescer
insânia	loucura
irascível	iroso
desadaptar	desentrosar
ciáfilo	umbrófilo
imponível	tributável
descoraçar-se	descoroçoar-se
macérrimo	magérrimo
descodificar	traduzir
amortecido	mortiço
negativo	proibitivo
numerário	recurso
escolta	leva
quepe	boné
secionável	seccionável
extrovertido	sociável
desamolgar	deslisar
refilar	repostar
biró	porção
retarde	retraso
libertador	redimidor
imperial	imperioso
confidência	revelação
derrancar-se	deteriorar-se
colheita	safra
agnado	agnato
misturada	salsada
delinqüência	marginalidade
desagregado	desconjunto
amazelado	deselegante
encrespadura	enfurecimento
notoriedade	soada
descompassar	desregrar
projeto	traçado
prototípico	arquetípico
frescalhão	frescalhote
pinheiral	pinhal
obtestar	provocar
audaz	longânimo
apresentante	apresentador
salpresar	salmourar
agravante	agravativo
deformado	deforme
lesma	molenga
tomadiço	zangadiço
avançamento	avanço
solvibilidade	solvabilidade
escarrar	expectorar
recrudescimento	recrudescência
apontoado	pontado
aprofundado	cavado
alegação	argüição
márcido	mirrado
abandonamento	desprendimento
bambá	bruega
pífio	torpe
bela-face	façalvo
despatriótico	antipatriótico
pasta	creme
encalmar	judiar
rabanada	rajada
lamentar-se	lamuriar-se
desacunhar	descunhar
aquentar	cozinhar
prestabelecer	prefixar
exceptivo	excetivo
ramalheira	ramaria
proposto	sugerido
grecolátrico	helenolátrico
rezador	saludador
igualamento	nivelamento
aparrado	socado
alfombra	tapeçaria
acusável	argüível
olhinegro	olhipreto
desdizer	retratar
aplaudido	laureado
mofento	mofoso
urgência	premência
escoadoiro	sarjeta
perambulagem	vadiagem
xintoísmo	xintó
aferrolhar	enclausurar
arremetida	arrojamento
petum	tabaco
cabrum	caprum
fontainha	fontícula
repetente	repetidor
dorminhoco	napeiro
chamuscamento	crestamento
cocoricar	cucuricar
polemizar	polemicar
incomparabilidade	unicidade
sacudido	sacolejado
cordame	cordoalha
balbúcie	tartamudeio
antagônico	contraditório
desfadigado	repousado
demoroso	vagaroso
operar-se	realizar-se
certificatório	certificativo
tartamudo	tatibitate
desaguar	esvaziar
apalmado	espalmado
madrugador	matutinal
funestar	verberar
trouxa	zângano
edacidade	glutonaria
picumã	tisne
rechino	ruído
repuxar	retesar
babado	fofoca
fuzileiro	atirador
remodelagem	remodelamento
destoante	malsoante
abranger-se	incluir-se
paisagista	jardinista
alvoroçamento	inquietação
esmagado	pisado
gatimonha	micagem
madorrento	sonolento
lanzudo	lapônio
perder	prejudicar
inconvertido	inconverso
desregramento	licenciosidade
valsador	valsante
murmuroso	murmurante
impetuosidade	impulsividade
achavascado	chavascado
espumar	fumegar
gaze	gaza
